Gender,Age,Married,Number of Dependents,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Refunds,Total Extra Data Charges,Customer Status
Female,37,Yes,0,2,9,Yes,42.39,No,Yes,One Year,Yes,Credit Card,65.6,0.0,0,0
Male,46,No,0,0,9,Yes,10.69,Yes,Yes,Month-to-Month,No,Credit Card,-4.0,38.33,10,0
Male,50,No,0,0,4,Yes,33.65,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,0.0,0,1
Male,78,Yes,0,1,13,Yes,27.82,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.0,0.0,0,1
Female,75,Yes,0,3,3,Yes,7.38,No,Yes,Month-to-Month,Yes,Credit Card,83.9,0.0,0,1
Female,23,No,3,0,9,Yes,16.77,No,Yes,Month-to-Month,Yes,Credit Card,69.4,0.0,0,0
Female,67,Yes,0,1,71,Yes,9.96,No,Yes,Two Year,Yes,Bank Withdrawal,109.7,0.0,0,0
Male,52,Yes,0,8,63,Yes,12.96,Yes,Yes,Two Year,Yes,Credit Card,84.65,0.0,20,0
Female,68,No,0,0,7,Yes,10.53,No,Yes,Two Year,Yes,Bank Withdrawal,48.2,0.0,0,0
Female,43,Yes,1,3,65,Yes,28.46,Yes,Yes,Two Year,Yes,Credit Card,90.45,0.0,0,0
Male,47,No,0,0,54,No,25.69,No,Yes,Two Year,No,Credit Card,45.2,0.0,0,0
Female,25,Yes,2,2,72,Yes,16.01,Yes,Yes,Two Year,Yes,Credit Card,116.8,0.0,0,0
Female,58,Yes,0,0,5,Yes,18.65,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,0.0,0,0
Female,32,No,0,0,72,Yes,2.25,Yes,Yes,Two Year,Yes,Bank Withdrawal,101.3,0.0,0,0
Female,39,No,0,0,56,No,25.69,No,Yes,Two Year,No,Bank Withdrawal,45.05,0.0,0,0
Female,58,Yes,2,9,71,Yes,27.26,Yes,Yes,Two Year,Yes,Credit Card,95.75,0.0,0,0
Female,52,Yes,1,0,34,No,25.69,No,Yes,One Year,No,Credit Card,61.25,0.0,0,0
Male,79,No,0,0,45,Yes,10.67,No,Yes,One Year,No,Credit Card,62.7,0.0,0,1
Male,67,No,0,0,1,No,25.69,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,0.0,0,1
Female,79,Yes,0,0,50,Yes,31.43,Yes,No,One Year,No,Bank Withdrawal,25.2,0.0,0,0
Female,26,Yes,0,1,13,Yes,43.56,Yes,Yes,Month-to-Month,No,Bank Withdrawal,94.1,0.0,0,1
Female,30,Yes,2,1,23,Yes,34.91,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,0.0,0,0
Female,34,Yes,0,0,4,Yes,12.43,No,No,Month-to-Month,No,Credit Card,20.35,0.0,0,1
Female,37,Yes,1,1,1,No,25.69,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,0.0,0,1
Female,37,Yes,3,10,55,Yes,35.04,No,Yes,One Year,Yes,Bank Withdrawal,103.7,0.0,20,0
Male,42,Yes,3,3,54,Yes,19.7,No,No,Two Year,No,Credit Card,20.4,0.0,0,0
Male,64,No,0,0,26,Yes,37.7,No,No,One Year,Yes,Bank Withdrawal,19.6,21.25,0,0
Female,47,Yes,3,5,69,Yes,38.39,No,No,Two Year,No,Bank Withdrawal,19.7,0.0,0,0
Male,23,Yes,3,1,37,Yes,43.01,No,Yes,One Year,No,Credit Card,91.2,0.0,0,0
Female,48,Yes,0,5,49,Yes,49.58,No,No,One Year,No,Bank Withdrawal,20.45,0.0,0,0
Male,28,Yes,0,9,66,Yes,43.77,Yes,Yes,One Year,No,Bank Withdrawal,-2.0,0.0,0,0
Female,28,No,0,0,67,Yes,23.12,No,No,One Year,No,Bank Withdrawal,20.55,30.53,0,0
Male,33,Yes,1,4,20,No,25.69,No,Yes,Two Year,Yes,Credit Card,39.4,0.0,0,0
Female,31,No,3,0,43,Yes,30.64,Yes,No,Two Year,Yes,Bank Withdrawal,25.1,0.0,0,0
Female,37,Yes,0,2,55,Yes,5.08,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,0.0,0,0
Female,60,Yes,0,4,59,Yes,16.39,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,0.0,0,0
Female,48,Yes,3,3,12,Yes,19.28,No,No,Two Year,No,Bank Withdrawal,20.3,0.0,0,0
